image_filename,prompt
00000.jpg,An old painting hung on a green wall with a dark brown decorated frame depicting two dogs on a field with a castle in the background
00001.jpg,Remove the trees obstructing the view
00002.jpg,Add a soft blue teddy bear resting in the baby's lap
00003.jpg,Change the LED lights to emit a warm orange glow instead of multi-color
00004.jpg,Change the slice of pizza on the left plate to a large hamburger
00005.jpg,Change the blue air compressor tank to a bright red tank
00006.jpg,Remove the stack of boxes and appliances from the table on the left
00007.jpg,Change the city skyline background to a snowy mountain range
00008.jpg,Change the weather to a snowy winter day with snow on the ground
00009.jpg,Delete the umbrellas on the background
00010.jpg,Add a small burning campfire in the center of the children
00011.jpg,Change the color of the lily petals from white to vibrant pink
00012.jpg,Add a mechanic's hand holding a wrench near the exposed wires
00013.jpg,Change the gas price signs lowering them
00014.jpg,Add a thick layer of white snow covering the train and the ground
00015.jpg,Add a glowing vintage street lamp in the middle of the cobblestone alley
00016.jpg,Remove the leaf sign 
00017.jpg,Change the cloudy sky to a vibrant orange sunset sky
00018.jpg,Remove the patterned rug from the ceiling
00019.jpg,Remove the large orange ship on the right side of the water
00020.jpg,Change the hat color to purple
00021.jpg,Remove the blue cafe sign
00022.jpg,Add a flock of seagulls flying around the parked garbage trucks
00023.jpg,change the book cover  to leather brown
00024.jpg,Remove the clear plastic water bottle from the chair's armrest
00025.jpg,Change the rectangular cake to a giant round pepperoni pizza
00026.jpg,Change the sky to a dark stormy sky with lightning bolts
00027.jpg,Add a raccoon peeking out from underneath the lid of the green garbage bin
00028.jpg,Add a bright yellow street sweeper truck parked in the background
00029.jpg,Add a colorful rainbow arching behind the trees
00030.jpg,Add a street vendor cart selling food on the beach
00031.jpg,Add a white racing stripe running along the side of the car
00032.jpg,remove the bike laying on the grass without a rider
00033.jpg,Remove the bottle from the hand of the person on the left
00034.jpg,Add a squirrel looking back at the dog from outside the glass door
00035.jpg,Remove the clutter from the desk
00036.jpg,Add a bright full moon shining in the dark night sky above the bell tower
00037.jpg,Change the landscape to be covered in a fresh blanket of white snow
00038.jpg,Change the hedge behind the children to a orange Autumn color
00039.jpg,Add a stray dog digging through the rubble
00040.jpg,Remove all the people walking on the snowy path
00041.jpg,Add a vintage bicycle parked leaning against the railing
00042.jpg,Add colorful confetti raining down around the two women
00043.jpg,Add the silhouette of a pirate ship sailing on the horizon
00044.jpg,Add a street musician playing a guitar in the middle of the plaza
00045.jpg,Add people sitting at the tables drinking coffee
00046.jpg,Change the ambient lighting to a dark moody candlelight setting
00047.jpg,Add a wooden suspension bridge crossing over the river gorge
00048.jpg,Change the paved asphalt schoolyard into a green grass soccer field
00049.jpg,Remove the broken wheel cover on the ground
00050.jpg,Change the time of day to daytime with unlit paper lanterns
00051.jpg,Change the weather to sunny midday weather
00052.jpg,Remove the box of Great Value lightbulbs from the table
00053.jpg,Add a large red APPROVED stamp diagonally across the white label
00054.jpg,Add a cigarette in the hand of the driver and another hand with a beer
00055.jpg,Remove the plastic water bottles on the right side of the picnic table
00056.jpg,Remove the open pencil case filled with pencils from the desk
00057.jpg,Change the scene to springtime with blooming pink cherry blossom trees
00058.jpg,Add a wooden treasure chest resting on the sandy ocean floor
00059.jpg,Change the brick color to white
00060.jpg,Change the cardboard background to a sleek black anti-static mat
00061.jpg,Change the setting to daytime under a bright sunny sky
00062.jpg,Change the grey gravel ground into a lush green grassy lawn
00063.jpg,Change the background from a muddy field to a sandy beach with an ocean
00064.jpg,Change the color of the red water basin to bright blue
00065.jpg,Change the green trees to display autumn colors with orange and red leaves
00066.jpg,Remove the large blue tent in the foreground
00067.jpg,Add a majestic stone medieval castle on the distant hill
00068.jpg,Change the t shirt color to yellow
00069.jpg,add the hands of a mechanic working on the parts
00070.jpg,Paint the green bar of the color of the car
00071.jpg,Add a colorful party hat onto the head of the man holding the microphone
00072.jpg,Change the weather to heavy snowfall with snow accumulating on the asphalt road
00073.jpg,Change the background to a futuristic cyberpunk alleyway
00074.jpg,Change the light green tabletops to a natural wood finish
00075.jpg,Change the overcast grey sky to a clear bright blue sky
00076.jpg,Remove the green corrugated roof section above the pink wall
00077.jpg,Add a glowing blue lightsaber next to the mask inside the display case
00078.jpg,Remove the group of small yellow seahorses on the bottom left
00079.jpg,Remove the tram wagon
00080.jpg,remove the sign from the scene
00081.jpg,Remove the small white plate containing ketchup and food scraps
00082.jpg,Change the blue toy car on the packaging to a red toy car
00083.jpg,Place a large red excavator on the foreground
00084.jpg,Replace the American flag with a black and white checkered racing flag
00085.jpg,Change the color of the car from black to bright yellow
00086.jpg,Add a flock of birds flying in the sky behind the women
00087.jpg,Add mineral geodes to the rock face
00088.jpg,Add a small ceramic bowl of soy sauce next to the raw beef
00089.jpg,Add a futuristic flying car soaring in the sky 
00090.jpg,make the light wall on the foreground darker and add more vegetation
00091.jpg,Add a large brown bear standing on the rocky slope in the distance
00092.jpg,Remove the worker in the foreground
00093.jpg,Remove the grass and moss from the waterfall
00094.jpg,add some goats to the mountain side
00095.jpg,Change the tiled floor into a patch of green grass
00096.jpg,Add a pool of fresh golden oil sitting in the center crevices of the engine
00097.jpg,Add glowing neon signs to the wall behind the arcade game
00098.jpg,Add a giant inflatable finish line archway above the street
00099.jpg,Change the sky to a starry night sky with the Milky Way visible

